Región,Precio,Habitaciones,Baños,Superfície,Dirección,Tipo de inmueble,Orientación,Estado,Antigüedad,Planta,Ascensor,Amueblado,Consumo energía,Emisiones,Calefacción,Agua caliente,Parking
Barcelona,1.250.000 €,7 habs.,4 baños,521 m²,L'Eliana - L'Eliana pueblo,Casa o chalet,Sureste,Muy bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Barcelona,578.000 €,3 habs.,3 baños,113 m²,Provença - L'Antiga Esquerra de l'Eixample,Piso,,Muy bien,70 a 100 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,730.000 €,4 habs.,2 baños,136 m²,Sarrià - Sant Gervasi - Sarrià,Piso,,,30 a 50 años,3ª planta,Sí,No,"F
231 kW h m² / año","E
48 kg CO₂ m² / año",,,Comunitario
Barcelona,699.000 €,4 habs.,2 baños,204 m²,Rafael Llopart - Aiguadolç - Sant Sebastià,Casa o chalet,,,,,,,"E
1 kW h m² / año","E
40 kg CO₂ m² / año",,,
Barcelona,495.000 €,3 habs.,1 baño,120 m²,Comtessa de Sobradiel - Barri Gòtic,Piso,,Bien,+ 100 años,3ª planta,Sí,No,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Barcelona,288.000 €,4 habs.,3 baños,200 m²,Murcia - Juan Carlos I,Ático,,,,3ª planta,Sí,,"C
999 kW h m² / año","D
999 kg CO₂ m² / año",,,Privado
Valencia,390.000 €,5 habs.,2 baños,181 m²,Játiva - 4 - La Roqueta,Piso,,,70 a 100 años,5ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,Electricidad,
Valencia,205.000 €,4 habs.,2 baños,129 m²,Calle del Doctor Manuel Candela - Albors,Piso,,,30 a 50 años,2ª planta,Sí,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Comunitario
Valencia,198.000 €,3 habs.,2 baños,105 m²,Calle Fuente del Jarro - Santa Rita,Piso,Noroeste,Casi nuevo,30 a 50 años,1ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,Electricidad,
Valencia,78.000 €,3 habs.,1 baño,107 m²,Plaza Barón - Beniparrell,Piso,,Muy bien,30 a 50 años,3ª planta,,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Valencia,1.250.000 €,6 habs.,5 baños,757 m²,Godella - Campolivar,Casa o chalet,,Casi nuevo,,Bajos,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Valencia,820.000 €,4 habs.,3 baños,189 m²,Avenida del Mediterráneo - Niño Jesús,Piso,Sur,Bien,30 a 50 años,6ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Valencia,290.000 €,2 habs.,2 baños,111 m²,L'Eixample - Russafa,Piso,Sur,Bien,,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
